household,peak_kw,cost_b1,cost_b2,cost_b3,capture_b3_pct,violations_b3
H01,6.503433363671633,-296.4630924997647,-676.2246918357032,-625.0447150120842,86.52313006024998,0.0
H02,4.505039678943348,-311.4858786455427,-709.3993942509869,-656.7900584570409,86.77870096623924,0.0
H03,3.762849166414583,-296.83034932847306,-672.9657638524156,-612.5342414608715,83.93357284157102,0.0
H04,8.220818749016416,-292.7527270107734,-684.8859282147152,-633.2312091350262,86.82725183149584,0.0
H05,10.718189835115709,-288.17857806939264,-671.9389398771475,-597.5157462271359,80.60685754531,0.0
H06,9.738590845652196,-189.58709147666687,-558.6454095487873,-466.3088286113429,74.98049050356312,0.0
H07,4.42516525750051,-331.8075970304552,-726.0005362187567,-678.9251564398772,88.05778209122309,0.0
H08,11.66386574349258,-350.31452496650263,-750.8641847581594,-683.962939372607,83.29764019264165,0.0
H09,7.137564425501751,-322.9284775291646,-705.0541011864868,-648.8313842833908,85.2868498152548,0.0
H10,6.132060563989228,-297.2613535871539,-681.3981277055643,-620.4289069065583,84.12825199073175,0.0
H11,4.466486954247927,-372.13351451169535,-775.5083639319224,-728.6252432570145,88.37728213786922,0.0
H12,3.3386310107750887,-308.6621670334803,-707.8001038133688,-664.4306392721029,89.13421638365017,0.0
H13,4.682108203255524,-276.7709717475744,-672.0192797823433,-624.8716429401777,88.07138806574773,0.0
H14,4.122367705110662,-360.46859432142736,-753.3079121250852,-706.5176338939838,88.08920693256898,0.0
H15,5.279681475515531,-285.54188247652365,-681.2501217380334,-628.1318023814217,86.57639288589398,0.0
H16,5.968227451934752,-288.55626612038424,-674.8229572322687,-613.259185868664,84.06184825660455,0.0
H17,3.0522799318507907,-229.9541091659505,-622.371924684133,-565.7737697349195,85.57706793345343,0.0
H18,2.955330131190209,-345.49642525582817,-736.4609240843316,-699.3694021904345,90.5128158681826,0.0
H19,3.804293539362334,-338.2456884677767,-736.1399082896316,-697.7700266878819,90.3567632575993,0.0
H20,4.28152997176457,-292.21450777962485,-670.0927763917759,-619.0684525996043,86.49715317592334,0.0
H21,2.6955366553738145,-275.7562443049424,-648.8420454354326,-572.5988806525795,79.5641740983366,0.0
H22,4.502705195213252,-285.58322035856526,-661.8475377488085,-601.6426356817666,83.99930599727843,0.0
H23,2.703883935897196,-300.6119117517922,-677.8927357281952,-617.3167592280658,83.9440616510321,0.0
H24,7.366869047185105,-275.1735099038551,-645.0647623318582,-585.8876307854711,84.00147849998004,0.0
H25,4.264451451244554,-351.01967551687954,-746.9109248276242,-691.6743202320381,86.04753080757551,0.0
H26,4.894539604114812,-290.0996400308276,-667.9050184294717,-611.0605155622147,84.95402497757004,0.0
H27,4.230048930059411,-283.1166106217969,-667.3547507101966,-608.9287907547725,84.79433615257913,0.0
H28,3.850636068188578,-321.4646726974071,-710.463667384107,-663.4529321196956,87.91494684908533,0.0
H29,4.14827291111024,-263.8574548824841,-623.79000968604,-556.9532464184971,81.43075351880269,0.0
H30,3.7409002517605927,-288.9023232592599,-677.6776283223248,-625.1480008960333,86.48843515979739,0.0
H31,13.690765089564366,-322.0518757598656,-710.263550195254,-651.3313682891637,84.81957504451645,0.0
H32,4.439092466259581,-337.1251392783977,-734.3912453074904,-695.0675998073314,90.10143455397645,0.0
H33,4.1156851755253285,-309.492962352986,-691.9715126957503,-629.2712495005151,83.60685504087866,0.0
H34,7.26399565437714,-309.7981913941303,-694.6004568856926,-636.5663835583968,84.91846890424081,0.0
H35,5.643456302557979,-296.1961988506138,-695.6062585188549,-654.2309978020837,89.64090670346701,0.0
H36,4.213279125758618,-265.17181280585777,-649.071752214467,-568.448782334425,78.99896259315899,0.0
H37,4.905946029453958,-304.17933769036114,-675.4417688275859,-616.7074850180501,84.17984722299396,0.0
H38,4.005070996886303,-365.1005643281589,-737.1372865432744,-648.7644309110611,76.24620088413876,0.0
H39,3.903597639449117,-311.1157891739314,-695.2943311827198,-639.0840331742203,85.3687044272208,0.0
H40,5.707747054004898,-301.0105391092489,-681.2403640446599,-625.9792969491172,85.46640387693682,0.0
H41,4.164204261323221,-297.9286809386981,-676.1618545777407,-614.4960595494131,83.69635470230413,0.0
H42,3.616423647108888,-318.4344116069864,-710.331344992192,-652.3715302395603,85.21044442681018,0.0
H43,5.208378578038179,-198.05192488833688,-572.7454268839574,-506.11393475759417,82.21706761086504,0.0
H44,8.207031354853825,-276.3410888412567,-670.1623702804374,-605.4048304317315,83.55661745549762,0.0
H45,3.545764760401198,-325.4520028127696,-723.5511500761055,-683.2792664994811,89.88395633262053,0.0
H46,2.653996300472997,-180.01708301731898,-604.673042872186,-568.1855642493464,91.40775543682236,0.0
