,annual_kwh,peak_to_mean,midday_share,evening_share,winter_to_summer,distance
H28,4360.318,10.472,0.189,0.252,1.287,0.489
H62,5220.332,10.889,0.195,0.267,1.295,0.72
H33,3429.735,11.193,0.169,0.255,1.299,0.958
H39,5169.204,10.616,0.193,0.282,1.243,0.973
H32,5318.156,12.073,0.201,0.241,1.143,1.114
H64,5953.594,11.307,0.19,0.239,1.217,1.126
H41,5520.398,11.325,0.203,0.231,1.188,1.152
H30,4695.329,10.174,0.167,0.274,1.439,1.156
H57,4287.327,9.825,0.167,0.262,1.437,1.16
H50,3962.348,13.257,0.163,0.272,1.409,1.246
H26,4211.802,13.311,0.168,0.263,1.128,1.246
H58,4980.522,9.908,0.197,0.296,1.246,1.315
H67,4958.224,10.563,0.164,0.245,1.51,1.328
H19,5489.614,10.346,0.214,0.24,1.416,1.38
H27,4554.832,11.504,0.157,0.295,1.433,1.456
H45,4948.4,9.643,0.208,0.22,1.163,1.478
H52,4363.712,13.099,0.156,0.276,1.123,1.485
H60,4494.604,12.685,0.166,0.285,1.521,1.504
H02,4500.209,12.252,0.218,0.205,1.29,1.515
H36,4147.142,11.459,0.149,0.212,1.208,1.546
H74,4266.487,10.89,0.164,0.282,1.049,1.578
H22,4044.099,12.246,0.147,0.296,1.298,1.598
H73,4342.486,10.969,0.205,0.234,1.02,1.599
H42,6041.22,9.835,0.198,0.212,1.271,1.618
H55,4784.894,12.533,0.153,0.199,1.265,1.623
H40,3774.516,15.523,0.185,0.261,1.317,1.66
H25,5149.177,11.598,0.236,0.246,1.205,1.713
H37,3466.323,13.342,0.144,0.27,1.376,1.723
H20,4946.732,11.644,0.153,0.314,1.339,1.741
H07,2937.928,12.035,0.216,0.212,1.295,1.783
H68,5229.629,9.38,0.164,0.254,1.021,1.813
H66,3615.687,14.461,0.157,0.27,1.49,1.867
H18,5738.879,8.037,0.165,0.23,1.167,1.921
H53,3390.944,13.539,0.158,0.254,1.569,1.929
H03,6619.678,10.234,0.157,0.264,1.464,1.963
H17,5924.112,8.301,0.19,0.221,1.11,2.004
H72,4837.534,8.27,0.218,0.198,1.3,2.098
H43,2296.218,14.165,0.166,0.26,1.519,2.275
H54,6089.484,10.473,0.179,0.273,1.681,2.278
H29,3683.097,11.282,0.125,0.298,1.408,2.286
H10,3369.725,16.677,0.161,0.251,1.397,2.342
H48,4641.156,16.235,0.188,0.31,1.154,2.366
H59,6535.49,11.411,0.212,0.179,1.204,2.39
H65,6761.04,8.523,0.206,0.223,1.51,2.421
H16,3196.699,16.232,0.192,0.289,1.093,2.461
H56,5560.028,10.498,0.137,0.289,1.631,2.502
H14,3259.728,11.211,0.228,0.201,0.956,2.64
H11,3887.23,12.147,0.207,0.146,1.151,2.672
H69,6944.224,10.764,0.175,0.188,1.586,2.678
H01,3238.714,17.687,0.169,0.254,1.171,2.697
H23,7497.564,7.354,0.185,0.26,1.4,2.717
H51,2391.81,16.956,0.207,0.251,1.385,2.736
H21,6903.716,7.331,0.167,0.222,1.053,2.797
H12,4507.904,9.08,0.199,0.213,1.818,2.925
H71,4323.682,11.396,0.134,0.338,1.604,2.937
H13,4892.018,12.734,0.164,0.289,1.863,3.02
H61,4569.169,12.099,0.279,0.219,1.315,3.026
H38,5556.536,10.892,0.202,0.203,0.727,3.178
H35,6689.678,15.348,0.151,0.266,1.735,3.204
H15,3402.59,14.359,0.208,0.241,1.917,3.436
H34,3081.413,19.756,0.206,0.249,1.235,3.46
H09,8001.005,19.412,0.211,0.235,1.149,4.091
H24,1847.025,20.035,0.154,0.304,1.306,4.124
H04,2663.394,22.358,0.186,0.278,1.254,4.49
H44,2629.878,22.32,0.209,0.216,1.403,4.604
H47,4227.075,17.983,0.215,0.255,2.125,4.89
H63,6944.781,7.23,0.17,0.22,2.331,5.709
H70,6224.69,26.154,0.096,0.285,1.647,6.723
H06,1398.549,26.486,0.11,0.328,1.432,6.933
H05,3196.421,29.15,0.161,0.186,1.235,7.182
H08,5175.254,31.722,0.245,0.155,1.067,8.522
H31,5010.096,37.234,0.198,0.222,1.278,10.129
H46,8635.141,7.218,0.208,0.225,3.863,13.152
