,sunny_midday_ratio,floor_share_sunny_midday,floor_share_night,min_1min_w,annual_kwh,pv_suspect
H01,1.114,0.0033,0.0024,40.0,3238.7146,False
H02,0.9602,0.0,0.0,41.0,4500.209,False
H03,1.0445,0.0,0.0,41.0,6619.6787,False
H04,0.9355,0.0312,0.1378,40.0,2663.3945,False
H05,1.7274,0.0,0.0,40.0,3196.4207,False
H06,1.3973,0.5625,0.6433,40.0,1398.5486,False
H07,0.8681,0.0246,0.0098,40.0,2937.9277,False
H08,1.1257,0.0033,0.0993,40.0,5175.254,False
H09,1.528,0.0,0.0007,40.0,8001.005,False
H10,1.0897,0.0011,0.0015,40.0,3369.725,False
H11,0.8417,0.0,0.0062,40.0,3887.2305,False
H12,1.2505,0.0458,0.0462,40.0,4507.9043,False
H13,0.7888,0.0,0.0224,40.0,4892.0186,False
H14,1.155,0.0,0.0031,40.0,3259.7278,False
H15,1.0568,0.0915,0.0983,40.0,3402.59,False
H16,1.121,0.0033,0.133,40.0,3196.6992,False
H17,1.1416,0.0,0.0351,40.0,5924.1123,False
H18,1.1272,0.0,0.0,42.0,5738.879,False
H19,1.7783,0.0,0.0,41.0,5489.6143,False
H20,1.1939,0.0045,0.0387,40.0,4946.7314,False
H21,1.1959,0.0,0.0,42.0,6903.716,False
H22,1.4481,0.0,0.0,40.0,4044.099,False
H23,1.3511,0.0,0.0,41.0,7497.565,False
H24,2.794,0.3002,0.4868,40.0,1847.0251,False
H25,1.2659,0.0123,0.1884,40.0,5149.177,False
H26,1.1614,0.0,0.0,40.0,4211.8013,False
H27,1.4134,0.0,0.0,40.0,4554.832,False
H28,0.8884,0.0,0.0,40.0,4360.3184,False
H29,1.1962,0.0692,0.1007,40.0,3683.0972,False
H30,0.9484,0.0,0.0,41.0,4695.329,False
H31,1.5282,0.0,0.0,40.0,5010.0967,False
H32,0.9731,0.0,0.0,41.0,5318.1553,False
H33,1.0772,0.0,0.0,40.0,3429.735,False
H34,1.0073,0.0022,0.0019,40.0,3081.4133,False
H35,0.998,0.0,0.0,40.0,6689.6787,False
H36,1.0109,0.0,0.0,40.0,4147.1416,False
H37,0.8813,0.0,0.0,40.0,3466.3228,False
H38,1.1053,0.0,0.0,40.0,5556.5356,False
H39,1.5883,0.0,0.0195,40.0,5169.2036,False
H40,1.1625,0.0,0.0,40.0,3774.5156,False
H41,1.0558,0.0,0.0039,40.0,5520.3975,False
H42,1.2245,0.0078,0.008,40.0,6041.2207,False
H43,0.911,0.2913,0.2433,40.0,2296.218,False
H44,1.142,0.0379,0.0435,40.0,2629.8782,False
H45,1.0773,0.0,0.0,40.0,4948.3994,False
H46,1.1625,0.0,0.0,40.0,8635.141,False
H47,2.2,0.0,0.0308,40.0,4227.075,False
H48,1.7712,0.0011,0.0005,40.0,4641.1553,False
H49,0.7191,0.394,0.1707,40.0,3786.7869,True
H50,1.1189,0.0,0.0,40.0,3962.3484,False
H51,1.1277,0.1964,0.213,40.0,2391.8096,False
H52,0.9733,0.0,0.0,40.0,4363.7114,False
H53,1.2272,0.0,0.0002,40.0,3390.944,False
H54,1.2057,0.0,0.0,40.0,6089.4834,False
H55,0.9981,0.0056,0.0024,40.0,4784.8936,False
H56,0.9008,0.0,0.0,41.0,5560.0273,False
H57,1.279,0.0,0.0,41.0,4287.327,False
H58,1.1985,0.0,0.0002,40.0,4980.5215,False
H59,1.0008,0.0,0.0,40.0,6535.4893,False
H60,1.3689,0.0056,0.0038,40.0,4494.6045,False
H61,1.1305,0.0,0.0003,40.0,4569.169,False
H62,1.4667,0.0446,0.0553,40.0,5220.3315,False
H63,1.0103,0.0,0.0,41.0,6944.7817,False
H64,0.9517,0.0,0.0,40.0,5953.5938,False
H65,0.8075,0.0,0.0,40.0,6761.04,False
H66,1.6483,0.0089,0.0029,40.0,3615.6868,False
H67,1.2673,0.0,0.0,41.0,4958.2236,False
H68,1.4552,0.0,0.0,42.0,5229.629,False
H69,0.863,0.0,0.0,42.0,6944.2246,False
H70,1.3581,0.0547,0.0666,40.0,6224.6904,False
H71,1.6249,0.0859,0.0846,40.0,4323.6826,False
H72,1.0819,0.0,0.0,41.0,4837.5347,False
H73,1.0636,0.0,0.0002,41.0,4342.4854,False
H74,1.0203,0.0,0.0,40.0,4266.487,False
