timestamp,B1 | 15-min,B2 | 15-min,B2 | hourly signal,B3 | 15-min,B3 | hourly signal,B1 | hourly model,B2 | hourly model
2025-10,-13.4727,-25.485,-22.193,-22.2635,-18.9684,-14.3124,-23.586
2025-11,3.8753,-0.1092,0.9157,1.2155,2.5978,3.1799,0.1069
2025-12,39.9298,37.3958,37.7342,38.4994,38.8843,39.2358,37.0222
2026-01,-3.8221,-8.6391,-7.8512,-6.1045,-5.1585,-4.6996,-9.0194
2026-02,-0.3545,-4.1151,-3.6927,-1.13,-0.1819,-0.9242,-4.1612
2026-03,-18.295,-41.1375,-38.4825,-39.0995,-36.0757,-19.6633,-40.1704
2026-04,-15.6773,-40.7877,-38.3697,-39.2472,-36.3269,-16.9097,-39.5692
2026-05,-37.2284,-66.7005,-64.2224,-64.289,-61.6575,-38.5095,-65.4605
2026-06,-46.9605,-87.4897,-83.8764,-86.3825,-82.5566,-48.0959,-85.1395
2026-07,-42.4761,-73.4681,-71.9775,-71.9447,-70.0725,-43.4782,-72.9363
2026-08,-44.6903,-77.7581,-74.9623,-74.7039,-71.2725,-46.1268,-76.437
2026-09,-25.5636,-50.4277,-49.0872,-49.4297,-47.8287,-26.42,-50.1505
