timestamp,B1 | 15-min,B2 | 15-min,B2 | hourly signal,B3 | 15-min,B3 | hourly signal,B1 | hourly model,B2 | hourly model
2025-10,-15.4656,-28.7626,-25.1347,-26.0351,-22.5656,-16.2584,-26.521
2025-11,-1.4367,-5.2665,-4.3224,-4.9576,-3.9656,-1.8951,-4.8134
2025-12,34.8713,32.8739,33.1815,33.7231,34.1429,34.5271,32.7916
2026-01,-2.6845,-6.9166,-6.1851,-5.1058,-4.1858,-3.2044,-6.9563
2026-02,0.3912,-3.3345,-2.9655,-0.0816,0.7044,0.0319,-3.2707
2026-03,-20.655,-44.7159,-41.9325,-44.1348,-40.9437,-21.7951,-43.0116
2026-04,-12.2215,-36.394,-34.0652,-35.4742,-32.8644,-13.3607,-35.1754
2026-05,-36.9111,-66.4277,-64.0492,-65.9946,-63.4892,-37.8948,-65.1433
2026-06,-47.394,-88.5716,-85.0446,-88.3857,-84.7096,-48.4343,-86.2279
2026-07,-42.9079,-74.2581,-72.6241,-74.0268,-72.3902,-43.7804,-73.6195
2026-08,-47.6325,-82.4701,-79.3966,-81.886,-78.4768,-48.9762,-80.7711
2026-09,-27.1478,-52.5477,-51.9288,-51.8977,-50.6393,-28.0572,-52.341
