timestamp,B1 rule-based,B2 perfect foresight,RL SAC seed 0,"B3 NWP PV, SLP load, fitted TV"
2025-01,10.5112,3.3283,25.2502,4.3796
2025-02,-16.1632,-21.8405,-4.752,-19.205
2025-03,-7.0989,-24.0612,-6.3308,-20.5915
2025-04,-24.2921,-46.8491,-35.5319,-44.7332
2025-05,-8.5698,-31.5481,-19.1941,-28.9164
2025-06,-10.0647,-33.8247,-24.0628,-31.0627
2025-07,-33.0637,-50.4972,-39.6483,-47.9928
2025-08,-22.8251,-43.3242,-33.0258,-39.9772
2025-09,-5.1303,-23.923,-8.1769,-21.1938
2025-10,-13.5055,-24.6869,-5.4163,-21.5438
2025-11,3.8753,-0.1092,17.9246,1.2155
2025-12,39.9298,37.3958,52.4501,38.4994
2026-01,-3.8221,-8.6391,9.5984,-6.1045
2026-02,-0.3545,-4.1151,12.4581,-1.13
2026-03,-18.295,-41.1375,-26.4217,-39.0995
2026-04,-15.6773,-40.7877,-25.0522,-39.2472
2026-05,-37.2284,-66.7005,-54.5712,-64.289
2026-06,-46.9605,-87.4897,-74.6865,-86.3825
2026-07,-42.4761,-73.4681,-63.941,-71.9447
2026-08,-44.6903,-77.7581,-65.0561,-74.7039
2026-09,-25.5636,-50.4277,-41.7483,-49.4297
