timestamp,B1 rule-based,B2 perfect foresight,RL SAC seed 0,"B3 NWP PV, SLP load, fitted TV"
2025-01,10.5112,3.3283,35.6311,4.3796
2025-02,-16.1632,-21.8405,5.4534,-19.205
2025-03,-7.0989,-24.0612,3.741,-20.5915
2025-04,-24.2921,-46.8491,-29.7288,-44.7332
2025-05,-8.5698,-31.5481,-10.7862,-28.9164
2025-06,-10.0647,-33.8247,-19.6417,-31.0627
2025-07,-33.0637,-50.4972,-36.1212,-47.9928
2025-08,-22.8251,-43.3242,-29.0863,-39.9772
2025-09,-5.1303,-23.923,-5.2089,-21.1938
2025-10,-13.5055,-24.6869,-2.6529,-21.5438
2025-11,3.8753,-0.1092,22.9247,1.2155
2025-12,39.9298,37.3958,55.1042,38.4994
2026-01,-3.8221,-8.6391,18.1767,-6.1045
2026-02,-0.3545,-4.1151,20.6766,-1.13
2026-03,-18.295,-41.1375,-12.0841,-39.0995
2026-04,-15.6773,-40.7877,-20.3719,-39.2472
2026-05,-37.2284,-66.7005,-48.1019,-64.289
2026-06,-46.9605,-87.4897,-69.7124,-86.3825
2026-07,-42.4761,-73.4681,-61.0732,-71.9447
2026-08,-44.6903,-77.7581,-62.3502,-74.7039
2026-09,-25.5636,-50.4277,-37.6833,-49.4297
