controller,battery_kwh,inverter_kw,capex_eur,annual_cost_eur,annual_savings_eur,annual_cycles,simple_payback_years,roce_pct,opt_profit_eur
b3,5.0,3.0,2320.0,-247.75,308.89,316.05,7.51,13.31,148.69
b3,5.0,4.6,2624.0,-249.72,310.85,316.55,8.44,11.85,150.66
b3,5.0,5.63,2819.7,-250.12,311.25,316.71,9.06,11.04,151.05
b3,5.0,7.5,3175.0,-250.6,311.74,316.86,10.18,9.82,151.54
b3,7.5,3.0,3195.0,-328.09,389.23,299.77,8.21,12.18,229.03
b3,7.5,4.6,3499.0,-334.02,395.15,300.75,8.85,11.29,234.95
b3,7.5,5.63,3694.7,-336.08,397.22,301.07,9.3,10.75,237.02
b3,7.5,7.5,4050.0,-338.04,399.18,301.97,10.15,9.86,238.98
b3,9.37,3.0,3849.5,-372.46,433.6,285.37,8.88,11.26,273.4
b3,9.37,4.6,4153.5,-383.52,444.65,287.11,9.34,10.71,284.46
b3,9.37,5.63,4349.2,-387.48,448.62,287.83,9.69,10.31,288.42
b3,9.37,7.5,4704.5,-391.79,452.93,288.92,10.39,9.63,292.73
b3,12.0,3.0,4770.0,-423.3,484.43,267.85,9.85,10.16,324.23
b3,12.0,4.6,5074.0,-443.93,505.06,272.29,10.05,9.95,344.86
b3,12.0,5.63,5269.7,-451.09,512.22,273.43,10.29,9.72,352.03
b3,12.0,7.5,5625.0,-459.4,520.54,274.38,10.81,9.25,360.34
b3,15.0,3.0,5820.0,-467.34,528.48,248.29,11.01,9.08,368.28
b3,15.0,4.6,6124.0,-502.21,563.35,257.46,10.87,9.2,403.15
b3,15.0,5.63,6319.7,-513.79,574.92,259.7,10.99,9.1,414.72
b3,15.0,7.5,6675.0,-526.12,587.25,260.66,11.37,8.8,427.05
b2,5.0,3.0,2320.0,-268.58,329.72,327.86,7.04,14.21,169.52
b2,5.0,4.6,2624.0,-270.78,331.91,328.52,7.91,12.65,171.71
b2,5.0,5.63,2819.7,-271.31,332.44,328.62,8.48,11.79,172.24
b2,5.0,7.5,3175.0,-271.89,333.02,328.77,9.53,10.49,172.82
b2,7.5,3.0,3195.0,-351.66,412.8,309.26,7.74,12.92,252.6
b2,7.5,4.6,3499.0,-358.86,419.99,310.59,8.33,12.0,259.79
b2,7.5,5.63,3694.7,-361.03,422.16,311.03,8.75,11.43,261.96
b2,7.5,7.5,4050.0,-362.74,423.88,311.43,9.55,10.47,263.68
b2,9.37,3.0,3849.5,-398.1,459.23,295.03,8.38,11.93,299.03
b2,9.37,4.6,4153.5,-410.75,471.89,297.55,8.8,11.36,311.69
b2,9.37,5.63,4349.2,-414.94,476.07,298.25,9.14,10.95,315.87
b2,9.37,7.5,4704.5,-418.95,480.08,298.97,9.8,10.2,319.88
b2,12.0,3.0,4770.0,-448.76,509.9,276.01,9.35,10.69,349.7
b2,12.0,4.6,5074.0,-472.76,533.89,281.06,9.5,10.52,373.69
b2,12.0,5.63,5269.7,-480.19,541.32,282.02,9.73,10.27,381.12
b2,12.0,7.5,5625.0,-488.61,549.74,283.3,10.23,9.77,389.54
b2,15.0,3.0,5820.0,-491.76,552.9,255.18,10.53,9.5,392.7
b2,15.0,4.6,6124.0,-531.63,592.76,265.12,10.33,9.68,432.56
b2,15.0,5.63,6319.7,-544.42,605.55,267.04,10.44,9.58,445.35
b2,15.0,7.5,6675.0,-557.25,618.39,268.42,10.79,9.26,458.19
